,POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,1,Virat Kohli RCB,3,3,1,181,83*,90.50,128,141.40,0,2,15,7
2,2,Heinrich Klaasen SRH,2,2,1,143,80*,143.00,63,226.98,0,2,4,15
3,3,Riyan Parag RR,2,2,1,127,84*,127.00,74,171.62,0,1,8,9
4,4,Sanju Samson RR,2,2,1,97,82*,97.00,66,146.96,0,1,6,6
5,5,Abhishek Sharma SRH,2,2,0,95,63,47.50,42,226.19,0,1,7,9
6,6,Tilak Varma MI,2,2,0,89,64,44.50,53,167.92,0,1,3,7
7,7,Dinesh Karthik RCB,3,3,2,86,38*,86.00,44,195.45,0,0,6,7
8,8,Sam Curran PBKS,2,2,0,86,63,43.00,64,134.37,0,1,9,1
9,9,Shivam Dube CSK,2,2,1,85,51,85.00,51,166.66,0,1,6,6
10,10,Phil Salt KKR,2,2,0,84,54,42.00,60,140.00,0,1,5,5
11,11,Rachin Ravindra CSK,2,2,0,83,46,41.50,35,237.14,0,0,9,6
12,12,Sai Sudharsan GT,2,2,0,82,45,41.00,70,117.14,0,0,6,1
13,13,David Warner DC,2,2,0,78,49,39.00,55,141.81,0,0,8,5
14,14,Rohit Sharma MI,2,2,0,69,43,34.50,41,168.29,0,0,8,4
15,15,Shikhar Dhawan PBKS,2,2,0,67,45,33.50,53,126.41,0,0,9,1
16,16,Andre Russell KKR,2,1,1,64,64*,-,25,256.00,0,1,3,7
17,17,Nicholas Pooran LSG,1,1,1,64,64*,-,41,156.09,0,1,4,4
18,18,Travis Head SRH,1,1,0,62,62,62.00,24,258.33,0,1,9,3
19,19,Anuj Rawat RCB,3,3,0,62,48,20.67,42,147.61,0,0,5,3
20,20,Ruturaj Gaikwad CSK,2,2,0,61,46,30.50,51,119.60,0,0,8,1
21,21,Aiden Markram SRH,2,2,1,60,42*,60.00,41,146.34,0,0,4,1
22,22,KL Rahul LSG,1,1,0,58,58,58.00,44,131.81,0,1,4,2
23,23,Venkatesh Iyer KKR,2,2,0,57,50,28.50,35,162.85,0,1,4,4
24,24,Liam Livingstone PBKS,2,2,1,55,38*,55.00,34,161.76,0,0,3,4
25,25,Cameron Green RCB,3,3,0,54,33,18.00,48,112.50,0,0,5,2
26,26,Tim David MI,2,2,1,53,42*,53.00,32,165.62,0,0,3,3
27,27,Prabhsimran Singh PBKS,2,2,0,51,26,25.50,34,150.00,0,0,7,2
28,28,Naman Dhir MI,2,2,0,50,30,25.00,24,208.33,0,0,5,3
29,29,Sunil Narine KKR,2,2,0,49,47,24.50,26,188.46,0,0,2,5
30,30,Tristan Stubbs DC,2,2,1,49,44*,49.00,31,158.06,0,0,2,3
31,31,Faf Du Plessis RCB,3,3,0,46,35,15.33,36,127.77,0,0,8,1
32,32,Daryl Mitchell CSK,2,2,1,46,24*,46.00,38,121.05,0,0,2,2
