,Player,Image,Link
1,Virat Kohli,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=4,https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/164
2,Heinrich Klaasen,https://scores.iplt20.com/ipl/playerimages/Heinrich Klaasen.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3869
3,Riyan Parag,https://scores.iplt20.com/ipl/playerimages/Riyan Parag.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/4445
4,Sanju Samson,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png?v=4,https://www.iplt20.com/teams/rajasthan-royals/squad-details/258
5,Abhishek Sharma,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=4,https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3760
6,Tilak Varma,https://scores.iplt20.com/ipl/playerimages/Tilak Varma.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/20594
7,Dinesh Karthik,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png?v=4,https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/102
8,Sam Curran,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/2939
9,Shivam Dube,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png?v=4,https://www.iplt20.com/teams/chennai-super-kings/squad-details/5431
10,Phil Salt,https://scores.iplt20.com/ipl/playerimages/Phil Salt.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5606
11,Rachin Ravindra,https://scores.iplt20.com/ipl/playerimages/Rachin Ravindra.png?v=4,https://www.iplt20.com/teams/chennai-super-kings/squad-details/20684
12,Sai Sudharsan,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png?v=4,https://www.iplt20.com/teams/gujarat-titans/squad-details/20592
13,David Warner,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=4,https://www.iplt20.com/teams/delhi-capitals/squad-details/170
14,Rohit Sharma,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=4,https://www.iplt20.com/teams/mumbai-indians/squad-details/107
15,Shikhar Dhawan,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=4,https://www.iplt20.com/teams/punjab-kings/squad-details/41
16,Andre Russell,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=4,https://www.iplt20.com/teams/kolkata-knight-riders/squad-details/177
17,Nicholas Pooran,https://scores.iplt20.com/ipl/playerimages/Nicholas Pooran.png?v=4,https://www.iplt20.com/teams/lucknow-super-giants/squad-details/1703
